iteracija,a,b,c,d,error
233,-15.751615808718816,-0.13052325206940607,2.561426525769207,-19.511059727650963,3.2131100083429174
234,-15.751615808718816,-0.13052325206940607,2.561426525769207,-19.511059727650963,3.2131100083429174
235,-15.751615808718816,-0.13052325206940607,2.561426525769207,-19.511059727650963,3.2131100083429174
236,-15.751615808718816,-0.13052325206940607,2.561426525769207,-19.511059727650963,3.2131100083429174
237,-15.751615808718816,-0.13052325206940607,2.561426525769207,-19.511059727650963,3.2131100083429174
238,-15.751615808718816,-0.13052325206940607,2.561426525769207,-19.511059727650963,3.2131100083429174
239,-15.751615808718816,-0.13052325206940607,2.561426525769207,-19.511059727650963,3.2131100083429174
240,-15.751615808718816,-0.13052325206940607,2.561426525769207,-19.511059727650963,3.2131100083429174
241,-15.751615808718816,-0.13052325206940607,2.561426525769207,-19.511059727650963,3.2131100083429174
242,-15.751615808718816,-0.13052325206940607,2.561426525769207,-19.511059727650963,3.2131100083429174
243,-15.751615808718816,-0.13052325206940607,2.561426525769207,-19.511059727650963,3.2131100083429174
244,-15.751615808718816,-0.13052325206940607,2.561426525769207,-19.511059727650963,3.2131100083429174
245,-15.751615808718816,-0.13052325206940607,2.561426525769207,-19.511059727650963,3.2131100083429174
246,-15.751615808718816,-0.13052325206940607,2.561426525769207,-19.511059727650963,3.2131100083429174
247,-15.751615808718816,-0.13052325206940607,2.561426525769207,-19.511059727650963,3.2131100083429174
248,-15.751615808718816,-0.13052325206940607,2.561426525769207,-19.511059727650963,3.2131100083429174
249,-15.751615808718816,-0.13052325206940607,2.561426525769207,-19.511059727650963,3.2131100083429174
250,-15.751615808718816,-0.13052325206940607,2.561426525769207,-19.511059727650963,3.2131100083429174
251,-15.751615808718816,-0.13052325206940607,2.561426525769207,-19.511059727650963,3.2131100083429174
